"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","platform","platform_version","referer","accept_language","rt","response","success","item_width_mm","item_height_mm","item_width_px","px2mm","scale_factor","stimulus","question_order","init_locations","moves","final_locations"
"1920","914","true","Firefox","128.0","false","Windows 10","true","60","true","false","browser-check","0","11232","0.0-0.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","","","","","","","","","","","","",""
"","","","Firefox","128.0","","","","","","","survey-text","1","26744","0.0-1.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","15509","{""Q0"":""654f39d42ccb9fe00c46be78""}","","","","","","","","","","",""
"","","","Firefox","128.0","","","","","","","fullscreen","2","31038","0.0-2.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","3289","","true","","","","","","","","","",""
"","","","Firefox","128.0","","","","","","","virtual-chinrest","3","62111","0.0-3.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","31069","","","85.6","53.98","428.5714285714285","5","0.11200000000000002","","","","",""
"","","","Firefox","128.0","","","","","","","html-button-response","4","81699","0.0-4.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","19583","0","","","","","","","
    <p>If the measurements were done correctly, the square below should be 10 cm x 10 cm.</p>
    <div style=""background-color: black; width: 500px; height: 500px; margin: 20px auto;""></div>
    ","","","",""
"","","","Firefox","128.0","","","","","","","survey-multi-choice","5","96134","0.0-5.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","14434","{""Q0"":""durian""}","","","","","","","","[0]","","",""
"","","","Firefox","128.0","","","","","","","html-button-response","6","98849","0.0-6.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","2712","0","","","","","","","<p>Great! You passed the attention check. Now let's begin!</p>","","","",""
"","","","Firefox","128.0","","","","","","","html-button-response","7","103602","0.0-7.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","4749","0","","","","","","","<p>In this experiment, you will see 15 dashboards, each for 20 seconds.</p> <p> You need to <b>remember the data fact</b> shown on the dashboard, and try to recall whether it is <b>True or False</b> later.</p>","","","",""
"","","","Firefox","128.0","","","","","","","html-button-response","8","112958","0.0-8.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","9355","0","","","","","","","<p>Your response will be collected and evaluated. If any irregularities are found (such as selecting the same answer for all questions or displaying very low overall accuracy), you may not receive payment.</p>","","","",""
"","","","Firefox","128.0","","","","","","","image-keyboard-response","9","133654","0.0-9.0","1272","1","2024-07-29 19:18:10","b0e02d76891de4098917a4775b26ae70","102.89.34.25","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0","","Windows","10.0","https://wvbvqp7xwd.cognition.run/","en-US,en;q=0.5","null","null","","","","","","","Filter-Bar-Color.png","","","",""
